dataset_name,dataset_shape,ACC_CV,mean_ACC_CV,var_ACC_CV
teaching,"(151, 7)",[0.55263158 0.57894737 0.55263158 0.55263158],0.559210526,0.000129848
teaching,"(151, 7)",[0.68421053 0.57894737 0.52631579 0.5       ],0.572368421,0.004977493
teaching,"(151, 7)",[0.55263158 0.68421053 0.63157895 0.60526316],0.618421053,0.002250693
titanic,"(2201, 5)",[0.78          0.787273 0.787273 0.789091],0.78590925,1.63E-05
titanic,"(2201, 5)",[0.787273 0.790909 0.790909 0.789091],0.7895455,3.03E-06
titanic,"(2201, 5)",[0.787273 0.790909 0.790909 0.789091],0.7895455,3.03E-06
titanic,"(2201, 5)",[0.783636 0.789091 0.792727 0.789091],0.78863625,1.41E-05
titanic,"(2201, 5)",[0.787273 0.790909 0.790909 0.789091],0.7895455,3.03E-06
titanic,"(2201, 5)",[0.787273 0.790909 0.790909 0.789091],0.7895455,3.03E-06
wine,"(178, 15)",[1.         1.         0.95454545 0.97727273],0.982954545,0.000355114
wine,"(178, 15)",[1.         1.         0.97727273 0.95454545],0.982954545,0.000355114
wine,"(178, 15)",[1.         1.         0.97727273 0.95454545],0.982954545,0.000355114
wine,"(178, 15)",[1.         1.         1.         0.97727273],0.994318182,9.68E-05
wine,"(178, 15)",[1.         1.         0.97727273 0.95454545],0.982954545,0.000355114
wine,"(178, 15)",[1.         0.95454545 0.93181818 0.93181818],0.954545455,0.000774793
